lancet_item,fbs_item_code,fbs_item,fao_item_code,fao_item,note
whole_grains,2511,Wheat and products,16,Flour of Wheat,
whole_grains,2513,Barley and products,,,
whole_grains,2514,Maize and products,,,
whole_grains,2515,Rye and products,,,
whole_grains,2516,Oats,,,
whole_grains,2517,Millet and products,,,
whole_grains,2518,Sorghum and products,,,
whole_grains,2520,"Cereals, Other",,,
tubers,2531,Potatoes and products,,,
tubers,2532,Cassava and products,,,
tubers,2533,Sweet potatoes,,,
tubers,2534,"Roots, Other",,,
tubers,2535,Yams,,,
,2536,Sugar cane,,,
,2537,Sugar beet,,,
added_sugars,2541,Sugar non-centrifugal,,,
added_sugars,2542,Sugar (Raw Equivalent),,,
added_sugars,2543,"Sweeteners, Other",,,
legumes,2546,Beans,,,
legumes,2547,Peas,,,
legumes,2549,"Pulses, Other and products",,,
nuts,2551,Nuts and products,,,
legumes,2555,Soyabeans,,,
nuts,2556,Groundnuts (Shelled Eq),,,
nuts,2557,Sunflower seed,,,"From the EAT Lancet table caption: ""Legumes, peanuts, tree nuts, seeds, and soy are interchangeable."""
,2560,Coconuts - Incl Copra,,,
nuts,2561,Sesame seed,,,"From the EAT Lancet table caption: ""Legumes, peanuts, tree nuts, seeds, and soy are interchangeable."""
,2563,Olives (including preserved),,,
,2570,"Oilcrops, Other",,,
unsaturated_oils,2571,Soyabean Oil,,,"The EAT Lancet table caption lists olive, soybean, rapeseed, sunflower, and peanut oil as among the unsaturated fats."
unsaturated_oils,2572,Groundnut Oil,,,"The EAT Lancet table caption lists olive, soybean, rapeseed, sunflower, and peanut oil as among the unsaturated fats."
unsaturated_oils,2573,Sunflowerseed Oil,,,"The EAT Lancet table caption lists olive, soybean, rapeseed, sunflower, and peanut oil as among the unsaturated fats."
unsaturated_oils,2574,Rape and Mustard Oil,,,"The EAT Lancet table caption lists olive, soybean, rapeseed, sunflower, and peanut oil as among the unsaturated fats."
,2575,Cottonseed Oil,,,
saturated_oils,2576,Palmkernel Oil,,,The EAT Lancet table caption specifically lists palm oil but not other saturated oils.
saturated_oils,2577,Palm Oil,,,The EAT Lancet table caption specifically lists palm oil but not other saturated oils.
,2578,Coconut Oil,,,
,2579,Sesameseed Oil,,,
unsaturated_oils,2580,Olive Oil,,,"The EAT Lancet table caption lists olive, soybean, rapeseed, sunflower, and peanut oil as among the unsaturated fats."
,2581,Ricebran Oil,,,
,2582,Maize Germ Oil,,,
,2586,"Oilcrops Oil, Other",,,
vegetables,2601,Tomatoes and products,,,
vegetables,2602,Onions,,,
vegetables,2605,"Vegetables, Other",,,
fruits,2611,"Oranges, Mandarines",,,
fruits,2612,"Lemons, Limes and products",,,
fruits,2613,Grapefruit and products,,,
fruits,2614,"Citrus, Other",,,
fruits,2615,Bananas,,,
fruits,2616,Plantains,,,
fruits,2617,Apples and products,,,
fruits,2618,Pineapples and products,,,
fruits,2619,Dates,,,
fruits,2620,Grapes and products (excl wine),,,
fruits,2625,"Fruits, Other",,,
beef_lamb_pork,2731,Bovine Meat,870,"Beef and Veal,Boneless",
beef_lamb_pork,2732,Mutton & Goat Meat,870,"Beef and Veal,Boneless","There were no extraction rate data for mutton and goat meat, so we used the extraction rate for beef and veal as a proxy"
beef_lamb_pork,2733,Pigmeat,1038,Pork,
poultry,2734,Poultry Meat,,,
,2736,"Offals, Edible",,,
,2740,"Butter, Ghee",,,
,2743,Cream,,,
eggs,2744,Eggs,,,
added_sugars,2745,Honey,,,
fish,2761,Freshwater Fish,,,
fish,2762,Demersal Fish,,,
fish,2763,Pelagic Fish,,,
fish,2764,"Marine Fish, Other",,,
fish,2765,Crustaceans,,,
fish,2766,Cephalopods,,,
fish,2767,"Molluscs, Other",,,
whole_grains,2805,Rice (Milled Equivalent),,,
whole_milk,2848,Milk - Excluding Butter,,,
